Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,
Mali,Umarian,Macina,Ninga,,,AF//305,14.446291,-4.729081,
Mali,Umarian,kaarta,Niogoumera,,,AF//269,15.094618,-10.504794,
Mali,Umarian,kaarta,Nioro,,"Seized in 1855, first major base",Ryer 57,15.229317,-9.592771,
Mali,Umarian,Macina,Nokara,,,de Bruijn and Van Dijk p. 220,15.176295,-2.395883,
Mali,Umarian,Macina,Nyafunke,,,Djata p. xii,15.9322,-3.9906,
Guinea,Umarian,,Nyagassolo,,Umarian Fort,Djata xiii,12.31667,-9.11667,
Mali,Umarian,Macina,Oualladou,,,AF//305,15.2341,-4.2572,
Mali,Umarian,Macina,Ouemere,,,AF//354,15.1187,-3.891,
Mali,Umarian,Macina,Our,,,AF//305,15.5218,-4.3117,
Mali,Umarian,Segou,Pelenguena/Pelengana,,,Kesselroot p. 600,13.4274,-6.222,
Mali,Umarian,Macina,Poro,,,AF//305,14.203076,-4.540705,
Mali,Umarian,Macina,Poromani,,Capital of Fakala Province,"Sanankoua, p.68",13.83446,-4.375543,
Mali,Umarian,,Sabone,,major Umarian post,Robinson 1987,14.30372113,-8.884483667,approximate; now foret classe
Mali,Umarian,Segou,Sakoyba,,,Bazin p. 144,13.3118,-6.2796,
Mali,Umarian,Segou,Samanko,,,Kesselroot p. 600,13.70275,-6.375063,
Mali,Umarian,Macina,Samay,,,"Ba and Daget, p. 94",14.007801,-4.738109,
Mali,Umarian,Segou,Sando,Segou,,Bazin p. 144,13.309964,-6.368481,
Mali,Umarian,Macina,Sarayamo,,,"Sanankoua, prefix",16.083818,-3.239941,
Mali,Umarian,Macina,Sare Dina,,,AF//305,14.295985,-4.405481,
Mali,Umarian,Macina,SareBana,,,AF//354,15.7939,-3.4816,
Mali,Umarian,Macina,Sarefere,,,"Ba and Daget, p. xii",15.824,-3.6942,
Mali,Umarian,kaarta,Segala,,,Hanson p. 24,14.5638,-10.9746,
Mali,Umarian,Segou,Segou Koro,,Initial Capitla,Kesselroot p. 600,13.428,-6.2922,
Mali,Umarian,Segou,Segou-Sikoro,,Capital under Ngolo,Philippe p. 40,13.4317,-6.2157,
Mali,Umarian,Macina,Selingourou,,,"Ba and Daget, p. 203",15.4349,-4.581,
Mali,Umarian,Macina,Sendege,,,"Sanankoua, prefix",14.903498,-3.909978,
Mali,Umarian,Macina,Sensa,,,AF//305,14.81730115,-4.082898216,
Mali,Umarian,kaarta,Sero,,localities in Soninke areas,Hanson p. 24,14.811313,-11.062676,
Mali,Umarian,Macina,Sevare,,,"Sanankoua, prefix",14.529728,-4.092226,
Mali,Umarian,Segou,Sidabugu,,,Kesselroot p. 600,13.2987,-6.4561,
Mali,Umarian,kaarta,Simbi,,,Robinson,14.906507,-9.680867,
Mali,Umarian,Segou,Sinzeni (Sansanding),,Commercial City,Philippe p. 39,13.7252,-6.0043,
Mali,Umarian,Macina,So,,,AF//305,15.6288,-4.2069,
Mali,Umarian,Macina,Soala,,,"Ba and Daget, p. 203",13.8,-4.533333,
Mali,Umarian,Macina,Sofara,,,"Ba and Daget, p. xii",14.016667,-4.233333,
Mali,Umarian,,Sokolo,,,Oloruntimehin,14.7328,-6.1219,
Mali,Umarian,,Son,Soni?,,Oloruntimehin,14.6408,-5.8276,
Mali,Umarian,Macina,Sot,,,Djata p. xii,14.22813,-4.278387,
Mali,Umarian,Macina,Sufurlay,,,"Sanankoua, prefix",14.404807,-4.085367,
Mali,Umarian,Segou,Suntyana,,,Philippe p. 39,12.6733,-7.0816,
Mali,Umarian,Segou,Tadiana,,,AF//274,12.312032,-7.86832,
Guinea,Umarian,,Tamba,,major Umarian post,Robinson 1987,11.8,-10.666,
Mali,Umarian,kaarta,Tambakara,,,AF//269,15.067732,-10.842659,
Mali,Umarian,kaarta,Tankare,,,AF//269,14.4891,-9.1798,
Mali,Umarian,Macina,Tantala,,,AF//305,15.6973,-4.0833,
Mali,Umarian,Macina,Taparandougou,,,AF//354,13.8654,-4.1533,
Mali,Umarian,Segou,Tawa,,,AF//388,13.073538,-5.893707,
Mali,Umarian,Macina,Tendirma,,,"Ba and Daget, p. xii",16.130126,-3.639941,
Mali,Umarian,Macina,Tenenku,,"residence of Bori Hamsala, Amadou's nephew","Ba and Daget, p. 68",14.635448,-5.029386,
Mali,Umarian,Macina,Tilembeya,,New villages in Maasina Province,"Sanankoua, p. 66",14.15156092,-4.990090422,
Mali,Umarian,Macina,Timbuktu,,,Djata p. xii,16.770456,-3.005588,
Mali,Umarian,kaarta,Tinkan,,Tinguine?,AF//269,14.697229,-11.016997,
Mali,Umarian,Macina,Tobi,,,AF//305,15.0691,-3.9401,
Mali,Umarian,Macina,Tongorongo,,,AF//305,14.597761,-4.169518,
Mali,Umarian,Segou,Tourela,,Market,4PL/5,12.353955,-8.079765,
Mali,Umarian,kaarta,turungumbe,,Umarian Garrison,Hanson 1990 202,15.2647,-9.226303,
Mali,Umarian,Macina,Tye,,,Djata p. xii,13.9331,-3.7732,
Mali,Umarian,Segou,Tyo,,,Kesselroot p. 600,13.7143393,-6.035844957,
Mali,Umarian,Macina,Tyouki,,Site of garrison,"Ba and Daget, p. 70",15.4706,-4.5589,
Mali,Umarian,kaarta,Wossebugu,,Umarian Garrison,Hanson 1990 202,14.67616523,-8.147477465,
Mali,Umarian,Macina,Wouro Dyam Allah,,,"Ba and Daget, p. 203",15.4516,-3.2206,
Mali,Umarian,Macina,Wuro Ngiya,,village of former Segou chief in Maasina Province,"Sanankoua, p. 66",15.0786,-4.6049,
Mali,Umarian,kaarta,Yelimane,,Capital from early 19th c onwards,Hanson p. 23,15.118684,-10.577291,
Mali,Umarian,kaarta,Yerere,,Umarian Garrison,Hanson 1990 202,15.257124,-9.42949,
